id,treatment,time_started,compensation,cost_known,budget_denial_never,budget_denial_high,budget_denial_increasing,budget_denial_decreasing,wealth_recall,profit_recall,feedback
c8ny,Top-down,2024-01-16T08:02:14Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,10.5,-3.7,I was more tempted in every round to simply accept the suggested budget before I noticed I receive the left overs of the budget.
k6hq,Top-down,2024-01-16T11:20:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
WXBe,Top-down,2024-01-16T11:42:40Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,17400,-10000,NA
03k8,Bottom-up,2024-01-16T12:45:44Z,only wealth,only to me,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
0u20,Bottom-up,2024-01-16T13:09:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
YYoc,Top-down,2024-01-16T14:53:00Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,19.1,-10,NA
UgYj,Top-down,2024-01-16T16:01:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfhe,Top-down,2024-01-16T16:05:56Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,20700,-10000,NA
dvvp,Bottom-up,2024-01-16T16:09:55Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,21200,-10000,NA
AmqY,Bottom-up,2024-01-16T16:11:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
UDY6,Bottom-up,2024-01-17T17:18:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
0q4d,Bottom-up,2024-01-17T23:51:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
IwIa,Bottom-up,2024-01-18T13:27:44Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,10700,500,NA
BgJ2,Top-down,2024-01-18T16:40:54Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
mCZz,Top-down,2024-01-19T06:40:47Z,both,only to me,TRUE,FALSE,FALSE,FALSE,12.1,-3.4,NA
5G0V,Bottom-up,2024-01-19T09:22:24Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A61k,Bottom-up,2024-01-19T14:02:37Z,only wealth,also to firm,TRUE,FALSE,FALSE,FALSE,19000,-8000,NA
qgtP,Top-down,2024-01-19T14:11:27Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,13400,-6100,NA
ORkX,Bottom-up,2024-01-21T13:32:20Z,only wealth,only to me,FALSE,TRUE,FALSE,FALSE,10800,-1700,NA
QQzQ,Bottom-up,2024-01-21T16:05:44Z,only wealth,also to firm,FALSE,TRUE,FALSE,FALSE,14.6,-6000,NA
FqEC,Bottom-up,2024-01-22T00:14:21Z,both,only to me,TRUE,FALSE,FALSE,FALSE,10,-2000,NA
O8xN,Top-down,2024-01-22T07:55:48Z,only wealth,only to me,TRUE,FALSE,FALSE,FALSE,13000,-5000,NA
CaNW,Bottom-up,2024-01-22T07:57:47Z,only profit,also to firm,FALSE,FALSE,FALSE,TRUE,NA,NA,NA
j7Ij,Top-down,2024-01-22T07:59:21Z,only wealth,only to me,FALSE,FALSE,FALSE,TRUE,10000,5900,NA
V5C4,Top-down,2024-01-22T08:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
e1ZZ,Bottom-up,2024-01-22T08:43:18Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
